date,cu_usd_per_tonne,al_usd_per_tonne,eur_usd_rate,cu_eur_per_tonne,al_eur_per_tonne
2025-01-08,8847.0,2474.0,1.0286,8601.011083025473,2405.2109663620454
2025-01-09,8960.5,2502.5,1.0305,8695.293546821931,2428.432799611839
2025-01-10,8995.5,2560.5,1.0304,8730.104813664597,2484.957298136646
2025-01-13,8980.0,2573.0,1.0198,8805.648166307119,2523.043734065503
2025-01-14,9016.0,2554.5,1.0245,8800.390434358224,2493.411420204978
2025-01-15,9020.0,2562.0,1.03,8757.281553398057,2487.378640776699
2025-01-16,9135.0,2628.0,1.0272,8893.107476635514,2558.411214953271
2025-01-17,9132.0,2658.5,1.0298,8867.741308992037,2581.5692367449988
2025-01-20,9043.5,2675.0,1.0316,8766.479255525397,2593.0593253198913
2025-01-21,9067.0,2635.5,1.0357,8754.46557883557,2544.655788355701
2025-01-22,9123.0,2611.0,1.0443,8735.995403619649,2500.2393948099207
2025-01-23,9056.0,2605.5,1.0404,8704.344482891196,2504.325259515571
2025-01-24,9218.0,2640.0,1.0472,8802.521008403362,2521.008403361345
2025-01-27,9051.0,2616.5,1.053,8595.441595441596,2484.8053181386517
2025-01-28,8890.5,2572.0,1.0421,8531.330966318012,2468.0932731983494
2025-01-29,8881.0,2590.5,1.0396,8542.70873412851,2491.8237783762984
2025-01-30,8975.0,2617.0,1.0403,8627.31904258387,2515.620494088244
2025-01-31,8949.5,2598.0,1.0393,8611.084383719812,2499.759453478303
2025-02-03,8866.5,2584.0,1.0274,8630.036986568035,2515.0866264356628
2025-02-04,8993.0,2634.0,1.0335,8701.499758103531,2548.6211901306237
2025-02-05,9025.0,2610.0,1.0422,8659.566302053348,2504.3177892918825
2025-02-06,9165.0,2638.0,1.036,8846.525096525096,2546.332046332046
2025-02-07,9288.0,2639.5,1.0377,8950.563746747614,2543.6060518454274
2025-02-10,9287.5,2640.0,1.032,8999.51550387597,2558.139534883721
2025-02-11,9245.0,2647.0,1.0324,8954.862456412244,2563.9287098024024
2025-02-12,9277.5,2628.5,1.037,8946.480231436837,2534.7155255544844
2025-02-13,9362.0,2627.0,1.039,9010.587102983638,2528.3926852743025
2025-02-14,9812.0,2662.0,1.0478,9364.38251574728,2540.5611757969077
2025-02-17,9291.0,2660.0,1.0473,8871.383557719852,2539.864413253127
2025-02-18,9295.0,2661.0,1.0447,8897.291088350723,2547.1427203982007
2025-02-19,9433.0,2709.5,1.0434,9040.636381061911,2596.79892658616
2025-02-20,9514.5,2720.0,1.0443,9110.887675955186,2604.6155319352674
2025-02-21,9494.0,2702.0,1.0465,9072.14524605829,2581.9397993311036
2025-02-24,9490.0,2673.0,1.0466,9067.456525893369,2553.9843302121153
2025-02-25,9463.0,2669.0,1.0497,9014.956654282176,2542.631227969896
2025-02-26,9504.0,2670.5,1.0487,9062.648993992563,2546.486125679413
2025-02-27,9415.5,2655.0,1.0477,8986.828290541185,2534.122363271929
2025-02-28,9363.5,2637.5,1.0411,8993.852655844781,2533.378157717799
2025-03-03,9360.5,2624.0,1.0465,8944.577161968466,2507.4056378404207
2025-03-04,9395.0,2634.0,1.0557,8899.308515676801,2495.0269963057685
2025-03-05,9541.0,2653.0,1.0694,8921.82532261081,2480.8303721713114
2025-03-06,9654.0,2709.0,1.0796,8942.20081511671,2509.262689885143
2025-03-07,9664.0,2693.0,1.0857,8901.169752233582,2480.427374044395
2025-03-10,9547.0,2716.0,1.0845,8803.13508529276,2504.37989857077
2025-03-11,9628.0,2725.0,1.0912,8823.313782991203,2497.25073313783
2025-03-12,9766.0,2737.0,1.0886,8971.155612713577,2514.238471431196
2025-03-13,9702.5,2694.0,1.083,8958.910433979687,2487.5346260387814
2025-03-14,9759.0,2713.0,1.0889,8962.255487188906,2491.505188722564
2025-03-17,9748.0,2715.0,1.0903,8940.658534348344,2490.1403283499953
2025-03-18,9834.0,2681.0,1.0918,9007.144165598094,2455.5779446785123
2025-03-19,9914.0,2687.0,1.0897,9097.916857850785,2465.816279710012
2025-03-20,9911.5,2685.5,1.0833,9149.35844179821,2478.9993538262715
2025-03-21,9829.0,2652.0,1.0827,9078.230350050799,2449.431975616514
2025-03-24,9978.0,2640.5,1.0824,9218.40354767184,2439.4863266814486
2025-03-25,9982.0,2608.0,1.0825,9221.247113163972,2409.2378752886834
2025-03-26,9884.0,2600.0,1.0788,9162.031887282166,2410.085279940675
2025-03-27,9787.0,2557.0,1.0785,9074.64070468243,2370.885489105239
2025-03-28,9795.0,2559.0,1.0797,9071.964434565156,2370.1028063350927
2025-03-31,9673.0,2518.5,1.0815,8944.059177068886,2328.71012482663
2025-04-01,9652.0,2499.0,1.0788,8946.978123841305,2316.4627363737486
2025-04-02,9646.0,2480.0,1.0803,8929.001203369435,2295.658613348144
2025-04-03,9397.0,2436.5,1.1097,8468.05442912499,2195.6384608452736
2025-04-04,8830.5,2355.5,1.1057,7986.343492809985,2130.324681197432
2025-04-07,8825.0,2350.0,1.0967,8046.867876356342,2142.7920124008388
2025-04-08,8760.0,2366.0,1.095,8000.0,2160.7305936073058
2025-04-09,8539.0,2285.0,1.1045,7731.100045269352,2068.809416025351
2025-04-10,8978.0,2343.5,1.1082,8101.4257354268175,2114.690489081393
2025-04-11,9180.0,2364.0,1.1346,8090.957165520888,2083.553675304072
2025-04-14,9212.5,2355.5,1.1377,8097.477366616859,2070.405203480707
2025-04-15,9094.0,2333.5,1.1324,8030.731190392087,2060.6676086188627
2025-04-16,9083.0,2332.5,1.1355,7999.119330691326,2054.1611624834877
2025-04-17,9104.0,2327.5,1.136,8014.084507042254,2048.855633802817
2025-04-22,9293.5,2355.5,1.1476,8098.204949459742,2052.544440571628
2025-04-23,9416.5,2384.0,1.1415,8249.233464739378,2088.480070083224
2025-04-24,9410.5,2410.0,1.1376,8272.239803094233,2118.495077355837
2025-04-25,9364.0,2412.0,1.1357,8245.135158932817,2123.800299374835
2025-04-28,9365.5,2400.0,1.1358,8245.729882021484,2113.0480718436347
2025-04-29,9487.5,2430.0,1.1373,8342.126088103403,2136.6394091268794
2025-04-30,9204.0,2405.0,1.1373,8092.851490371933,2114.657522201706
2025-05-02,9376.0,2401.5,1.1343,8265.89085779776,2117.1647712245435
2025-05-06,9500.0,2404.0,1.1325,8388.520971302427,2122.737306843267
2025-05-07,9486.0,2363.5,1.136,8350.352112676057,2080.5457746478874
2025-05-08,9413.0,2363.5,1.1297,8332.300610781624,2092.148357971143
2025-05-09,9485.5,2401.0,1.1252,8430.056878777106,2133.842872378244
2025-05-12,9590.0,2468.5,1.1106,8634.972087160093,2222.672429317486
2025-05-13,9534.0,2470.0,1.1112,8579.913606911447,2222.822174226062
2025-05-14,9649.5,2530.0,1.1214,8604.868913857677,2256.108435883717
2025-05-15,9537.5,2480.5,1.1185,8527.045149754134,2217.70227983907
2025-05-16,9534.0,2473.5,1.1194,8517.062712167233,2209.66589244238
2025-05-19,9545.0,2450.5,1.1262,8475.404013496714,2175.9012608772864
2025-05-20,9530.0,2458.5,1.1241,8477.893425851791,2187.08299973312
2025-05-21,9532.5,2460.5,1.1321,8420.192562494478,2173.3945764508435
2025-05-22,9493.0,2445.5,1.1309,8394.199310283844,2162.4369970819703
2025-05-23,9595.0,2437.0,1.1301,8490.399079727456,2156.4463321829926
2025-05-27,9653.0,2470.5,1.1356,8500.352236703066,2175.5019373018667
2025-05-28,9682.0,2479.0,1.1317,8555.270831492446,2190.5098524343907
2025-05-29,9641.5,2468.0,1.1281,8546.67139437993,2187.749313004166
2025-05-30,9623.0,2445.0,1.1339,8486.639033424464,2156.2748037745837
2025-06-02,9655.0,2451.0,1.1419,8455.206235221998,2146.4226289517474
2025-06-03,9643.0,2446.0,1.1386,8469.172668189003,2148.252239592482
2025-06-04,9673.5,2473.0,1.1384,8497.452565003514,2172.3471539002107
2025-06-05,9834.0,2472.5,1.1423,8608.946861595026,2164.4926901864656
2025-06-06,9795.0,2431.5,1.1411,8583.822627289457,2130.838664446587
2025-06-09,9849.0,2468.5,1.141,8631.901840490797,2163.453111305872
2025-06-10,9854.0,2482.0,1.1429,8621.926677749585,2171.668562428909
2025-06-11,9730.0,2511.5,1.1433,8510.452199772588,2196.711274381177
2025-06-12,9779.0,2510.0,1.1594,8434.535104364326,2164.9128859755047
2025-06-13,9658.0,2485.0,1.1512,8389.50660180681,2158.6170952050034
2025-06-16,9738.0,2508.5,1.1574,8413.685847589424,2167.357871090375
2025-06-17,9820.5,2530.0,1.1568,8489.367219917012,2187.067773167358
2025-06-18,9841.0,2545.5,1.1508,8551.442474800138,2211.939520333681
2025-06-19,9712.0,2525.5,1.1478,8461.404425858163,2200.296218853459
2025-06-20,9945.0,2529.0,1.1515,8636.561007381677,2196.265740338689
2025-06-23,10035.0,2599.0,1.1472,8747.384937238494,2265.516039051604
2025-06-24,9930.5,2572.5,1.1607,8555.612992159902,2216.334970276557
2025-06-25,9810.0,2555.5,1.1598,8458.354888773927,2203.397137437489
2025-06-26,10115.0,2573.5,1.1695,8648.995297135529,2200.5130397605813
